symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AG,AG2612,-0.0,-0.029544801381035553,,0.0,False,-0.0,15832.0,15.0,0.22,0.0,-0.003914437634596951,-0.08323562961965421,-0.5206536577248362,True
AL,AL2610,2.0,0.07587625948997465,,0.0,False,2.0,24180.0,5.0,0.11,26598.0,0.1580000151624849,-0.011790078011414138,0.2494840269402215,True
AU,AU2612,-0.0,-0.043968405438827046,,0.0,False,-0.0,940.52,1000.0,0.16,0.0,-0.1116012730491026,-0.06920499625292036,-0.5352395987222803,True
C,C2611,-16.0,-0.11481868863580948,,0.0,False,-16.0,2216.0,10.0,0.07,24819.2,-0.19803867601292555,-0.35766007638304775,-0.32811923655857156,True
CF,CF2701,2.0,0.05959101007764664,,0.0,False,2.0,16040.0,5.0,0.07,11228.000000000002,-0.19012364039088434,0.15912510259967608,0.3778403077177311,True
CU,CU2610,1.0,0.133058410846383,,0.0,False,1.0,107740.0,5.0,0.11,59257.0,0.41325542253896586,0.1837619364180977,0.5178653412931961,True
I,I2701,-2.0,-0.03674336655210531,,0.0,False,-2.0,709.0,100.0,0.08,11344.0,-0.15899020840379605,0.20749694554492953,-0.5177364695253472,True
J,J2701,1.0,0.05251594071346462,,0.0,False,1.0,2062.0,100.0,0.12,24744.0,0.1876857105089149,0.29680514686392895,0.5528715996870623,True
JD,JD2611,5.0,0.05810276417088242,,0.0,False,5.0,3798.0,10.0,0.07,13293.000000000002,0.03268826123208533,0.4960555735045773,,True
M,M2701,11.0,0.12591827026486344,,0.0,False,11.0,3479.0,10.0,0.07,26788.300000000003,0.636396135845737,0.9627720690871665,-0.5731630453156354,True
MA,MA2701,9.0,0.0897282479176109,,0.0,False,9.0,3052.0,10.0,0.07,19227.600000000002,0.7799334335775416,0.980309773948526,0.3545028021218203,True
NI,NI2610,-1.0,-0.054984843852991926,,0.0,False,-1.0,122040.0,1.0,0.12,14644.8,-0.4642869103913331,-0.09304041940762521,-0.22893483777595056,True
P,P2701,-2.0,-0.08156586084489707,,0.0,False,-2.0,10095.0,10.0,0.08,16152.0,0.12441837960606444,-0.5567208949073964,-0.5759747929777934,True
RB,RB2701,-8.0,-0.08667582848313583,,0.0,False,-8.0,3126.0,10.0,0.07,17505.600000000002,-0.0690503918979766,-0.09831721549763875,-0.3456223657555048,True
RU,RU2701,0.0,0.02473579564225421,,0.0,False,0.0,18875.0,10.0,0.09,0.0,0.27171579492103004,-0.019784476732035233,0.021943347380090857,True
SA,SA2701,-4.0,-0.029810846057613843,,0.0,False,-4.0,1011.0,20.0,0.08,6470.400000000001,-0.5993840042711908,-0.7409295827878543,0.6928966332625274,True
SC,SC2610,0.0,0.06441147921159832,,0.0,False,0.0,892.8,1000.0,0.16,0.0,0.6704212586322561,0.9998750111636724,0.6112153636768394,True
SN,SN2610,0.0,0.03245432142159481,,0.0,False,0.0,398430.0,1.0,0.14,0.0,0.056568999289576954,-0.04430985325572094,0.6170497400758171,True
SR,SR2701,-8.0,-0.1363056361339431,,0.0,False,-8.0,5369.0,10.0,0.06,25771.2,-0.15157990822134626,-0.21440153102505954,-0.5731630453156354,True
TA,TA2701,8.0,0.083322954766542,,0.0,False,8.0,6556.0,5.0,0.07,18356.800000000003,0.443721556654863,0.9556446862999082,0.7308200798558825,True
V,V2701,-8.0,-0.06572262692751461,,0.0,False,-8.0,4887.0,5.0,0.07,13683.600000000002,-0.15456369702938166,-0.6361055404918355,-0.47981302293199213,True
Y,Y2701,4.0,0.12135753596407443,,0.0,False,4.0,9036.0,10.0,0.07,25300.800000000003,0.5241459345588849,0.2608239302366863,-0.04806916940764156,True
