symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AG,AG2612,-0.0,-0.0024685579561099205,,0.0,False,-0.0,15593.0,15.0,0.22,0.0,0.018862223404897974,-0.06208381319653706,,True
AL,AL2611,2.0,0.0842195782493507,AL2610,1.0,True,2.0,24225.0,5.0,0.11,26647.5,0.2395735856572937,0.07787182033652948,,True
AU,AU2612,-0.0,-0.01913150235657468,,0.0,False,-0.0,935.0,1000.0,0.16,0.0,-0.09489342906594088,-0.0689876223062462,,True
C,C2611,-25.0,-0.17972322646737182,C2611,-15.0,False,-10.0,2192.0,10.0,0.07,38360.00000000001,-0.3656129627379474,-0.4156831922984074,,True
CF,CF2701,-1.0,-0.022554148739351743,,0.0,False,-1.0,15830.0,5.0,0.07,5540.500000000001,-0.2848983722755409,0.18105538791975226,,True
CU,CU2610,0.0,0.08793431536522231,,0.0,False,0.0,108500.0,5.0,0.11,0.0,0.49753393380279676,0.21301472052980788,,True
I,I2701,0.0,0.005911652771154937,,0.0,False,0.0,710.5,100.0,0.08,0.0,-0.1253812670583173,0.18661091487592107,,True
J,J2701,1.0,0.03565794024856971,J2701,1.0,False,0.0,2043.5,100.0,0.12,24522.0,0.13839771689846736,0.2544817695345379,,True
JD,JD2611,4.0,0.050948741884387715,JD2611,4.0,False,0.0,3789.0,10.0,0.07,10609.2,0.0846551779725015,0.3645382157324789,,True
M,M2701,24.0,0.2762963962442526,M2701,24.0,False,0.0,3477.0,10.0,0.07,58413.600000000006,0.6425076107430965,0.9564472027376872,,True
MA,MA2701,9.0,0.0945636623945898,MA2701,9.0,False,0.0,2995.0,10.0,0.07,18868.5,0.7156250131110893,0.9782110706907887,,True
NI,NI2610,-1.0,-0.052888497314927,NI2610,-1.0,False,0.0,123550.0,1.0,0.12,14826.0,-0.3687605469008293,-0.10557687009244297,,True
P,P2701,-3.0,-0.08719599893844869,P2701,-2.0,False,-1.0,9959.0,10.0,0.08,23901.600000000002,0.04971303329278151,-0.569707019052155,,True
RB,RB2701,-4.0,-0.04047570257941139,RB2701,-4.0,False,0.0,3122.0,10.0,0.07,8741.6,-0.05954944864388333,-0.09844196798941902,,True
RU,RU2701,0.0,0.028883237997547096,,0.0,False,0.0,18820.0,10.0,0.09,0.0,0.24884428402973194,-0.031715799214044375,,True
SA,SA2701,-12.0,-0.08248638134003312,SA2701,-12.0,False,0.0,1006.0,20.0,0.08,19315.2,-0.5561836629385143,-0.7561030700306414,,True
SC,SC2611,0.0,0.047121785148491906,,0.0,False,0.0,785.2,1000.0,0.16,0.0,0.5679676407021819,0.9993888778770831,,True
SN,SN2610,0.0,0.00828629368995992,,0.0,False,0.0,401680.0,1.0,0.14,0.0,0.1083722450684092,-0.0269572553038725,,True
SR,SR2701,-5.0,-0.08938786656567337,SR2701,-5.0,False,0.0,5335.0,10.0,0.06,16005.0,-0.2567038227587521,-0.2157061841266174,,True
TA,TA2701,9.0,0.09994491263182277,TA2701,9.0,False,0.0,6388.0,5.0,0.07,20122.2,0.3952320448326402,0.8599666867992147,,True
V,V2701,-8.0,-0.06258549709652451,V2701,-8.0,False,0.0,4786.0,5.0,0.07,13400.800000000001,-0.19537492988205296,-0.646582024045201,,True
Y,Y2701,5.0,0.1390915628960292,Y2701,5.0,False,0.0,8969.0,10.0,0.07,31391.500000000004,0.4520282606199415,0.25001012005640105,,True
