symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AL,AL2611,3.0,0.10341910908396468,AL2610,1.0,True,3.0,24225.0,5.0,0.11,39971.25,0.2395735856572937,0.07787182033652948,0.15194095591746754,True
C,C2611,-28.0,-0.20221138261979596,C2611,-27.0,False,-1.0,2192.0,10.0,0.07,42963.200000000004,-0.3656129627379474,-0.4156831922984074,-0.5058056075350896,True
CF,CF2701,1.0,0.033069098216740395,CF2701,2.0,False,-1.0,15830.0,5.0,0.07,5540.500000000001,-0.2848983722755409,0.18105538791975226,0.28717856709462874,True
CU,CU2610,1.0,0.14689649599128848,CU2610,1.0,False,0.0,108500.0,5.0,0.11,59675.0,0.49753393380279676,0.21301472052980788,0.5023293121492035,True
I,I2701,-2.0,-0.048701096105712764,I2701,-2.0,False,0.0,710.5,100.0,0.08,11368.0,-0.1253812670583173,0.18661091487592107,-0.5795715772680867,True
J,J2701,1.0,0.054571447694245406,J2701,1.0,False,0.0,2043.5,100.0,0.12,24522.0,0.13839771689846736,0.2544817695345379,0.4685199093549132,True
JD,JD2611,4.0,0.05388363011824297,JD2611,4.0,False,0.0,3789.0,10.0,0.07,10609.2,0.0846551779725015,0.3645382157324789,,True
MA,MA2701,9.0,0.09452841931107793,MA2701,9.0,False,0.0,2995.0,10.0,0.07,18868.5,0.7156250131110893,0.9782110706907887,0.31791438781671083,True
NI,NI2610,-2.0,-0.0860495459606113,NI2610,-2.0,False,0.0,123550.0,1.0,0.12,29652.0,-0.3687605469008293,-0.10557687009244297,-0.3398321756358463,True
P,P2701,-5.0,-0.17279338237748934,P2701,-3.0,False,-2.0,9959.0,10.0,0.08,39836.0,0.04971303329278151,-0.569707019052155,-0.7208082281524496,True
RB,RB2701,-12.0,-0.12655819571597954,RB2701,-12.0,False,0.0,3122.0,10.0,0.07,26224.800000000003,-0.05954944864388333,-0.09844196798941902,-0.5365414282571718,True
RU,RU2701,0.0,0.012547766757979832,,0.0,False,0.0,18820.0,10.0,0.09,0.0,0.24884428402973194,-0.031715799214044375,-0.10623993814802223,True
SC,SC2611,0.0,0.0599694317602464,,0.0,False,0.0,785.2,1000.0,0.16,0.0,0.5679676407021819,0.9993888778770831,0.523844386654661,True
SN,SN2610,0.0,0.047286879751681415,,0.0,False,0.0,401680.0,1.0,0.14,0.0,0.1083722450684092,-0.0269572553038725,0.582242446026617,True
TA,TA2701,10.0,0.10507755174680719,TA2701,10.0,False,0.0,6388.0,5.0,0.07,22358.000000000004,0.3952320448326402,0.8599666867992147,0.7297743854926111,True
V,V2701,-12.0,-0.09769583378047297,V2701,-12.0,False,0.0,4786.0,5.0,0.07,20101.2,-0.19537492988205296,-0.646582024045201,-0.6103073979901688,True
Y,Y2701,4.0,0.12083731677371702,Y2701,4.0,False,0.0,8969.0,10.0,0.07,25113.2,0.4520282606199415,0.25001012005640105,-0.16463799751997818,True
