symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AG,AG2612,0.0,0.00754371215654039,,0.0,False,0.0,16165.0,15.0,0.22,0.0,0.17390221183496285,-0.06170350198342153,,True
AL,AL2611,3.0,0.1193632854379387,AL2611,3.0,False,0.0,24205.0,5.0,0.11,39938.25,0.4543612481840762,0.06497351005006932,,True
AU,AU2612,-0.0,-0.015276967556360124,,0.0,False,-0.0,939.5,1000.0,0.16,0.0,-0.05928225306829878,-0.07362245852001573,,True
C,C2611,-24.0,-0.17972322646737188,C2611,-24.0,False,0.0,2184.0,10.0,0.07,36691.200000000004,-0.42206218974265897,-0.4380017177839371,,True
CF,CF2701,-1.0,-0.016181678763232718,CF2701,-1.0,False,0.0,15820.0,5.0,0.07,5537.000000000001,-0.22325474740397694,0.1541466604288385,,True
CU,CU2610,1.0,0.16612244924846054,CU2610,1.0,False,0.0,110990.0,5.0,0.11,61044.5,0.7223095340864173,0.3285161764499807,,True
I,I2701,0.0,0.0020409690388542264,,0.0,False,0.0,712.0,100.0,0.08,0.0,-0.1748445811029427,0.18622202085970307,,True
J,J2701,0.0,0.019490321376675758,,0.0,False,0.0,1968.5,100.0,0.12,0.0,-0.08875366656555196,0.2890068087669583,,True
JD,JD2611,6.0,0.08017068442917698,JD2611,6.0,False,0.0,3838.0,10.0,0.07,16119.600000000002,0.17475451117213642,0.6230510584173147,,True
M,M2701,24.0,0.27629639624425256,M2701,24.0,False,0.0,3404.0,10.0,0.07,57187.200000000004,0.5431996119656932,0.9579980259303087,,True
MA,MA2701,10.0,0.0945636623945897,MA2701,10.0,False,0.0,2833.0,10.0,0.07,19831.000000000004,0.5302810074878574,0.8835124004198859,,True
NI,NI2611,-1.0,-0.052888497314927264,NI2611,-1.0,False,0.0,125660.0,1.0,0.12,15079.199999999999,-0.19130039456903983,-0.14877099517812967,,True
P,P2701,-4.0,-0.1329654987693754,P2701,-4.0,False,0.0,9718.0,10.0,0.08,31097.600000000002,-0.15631273979287266,-0.5679118774910312,,True
RB,RB2701,-6.0,-0.05858479946099325,RB2701,-4.0,False,-2.0,3113.0,10.0,0.07,13074.6,-0.1476297336444015,-0.07912219611545435,,True
RU,RU2701,1.0,0.07561688262597333,RU2701,1.0,False,0.0,19455.0,10.0,0.09,17509.5,0.5272757167670008,-0.030683397223010993,,True
SA,SA2701,-19.0,-0.1274402136770933,SA2701,-19.0,False,0.0,1011.0,20.0,0.08,30734.4,-0.5936266968513761,-0.6850616927443043,,True
SC,SC2611,0.0,0.04712178514849188,,0.0,False,0.0,688.1,1000.0,0.16,0.0,0.3948158736323946,0.9992344779839689,,True
SN,SN2610,0.0,0.041092137920178705,,0.0,False,0.0,410680.0,1.0,0.14,0.0,0.3608113478968105,-0.03883764327406534,,True
SR,SR2701,-5.0,-0.09286361020866317,SR2701,-8.0,False,3.0,5373.0,10.0,0.06,16119.0,-0.10596851675203577,-0.2089932962828468,,True
TA,TA2701,9.0,0.0999449126318228,TA2701,9.0,False,0.0,6120.0,5.0,0.07,19278.000000000004,0.33693112033615724,0.8019502330956515,,True
V,V2701,-8.0,-0.06258549709652454,V2701,-8.0,False,0.0,4770.0,5.0,0.07,13356.000000000002,-0.11433192405580249,-0.6231686739584117,,True
Y,Y2701,5.0,0.1390915628960292,Y2701,5.0,False,0.0,8922.0,10.0,0.07,31227.000000000004,0.3914345115151898,0.30972756792746964,,True
