symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AG,AG2612,-0.0,-0.03903015486637683,,0.0,False,-0.0,15593.0,15.0,0.22,0.0,0.018862223404897974,-0.06208381319653706,-0.6733241782496816,True
AL,AL2611,2.0,0.083286236203221,AL2610,1.0,True,2.0,24225.0,5.0,0.11,26647.5,0.2395735856572937,0.07787182033652948,0.051758136832410345,True
AU,AU2612,-0.0,-0.06961005369807759,,0.0,False,-0.0,935.0,1000.0,0.16,0.0,-0.09489342906594088,-0.0689876223062462,-0.7070489370907092,True
CU,CU2610,1.0,0.12315210817105798,CU2610,1.0,False,0.0,108500.0,5.0,0.11,59675.0,0.49753393380279676,0.21301472052980788,0.37214334582217184,True
MA,MA2701,10.0,0.09649890787380494,MA2701,9.0,False,1.0,2995.0,10.0,0.07,20965.000000000004,0.7156250131110893,0.9782110706907887,0.20351955161703417,True
NI,NI2610,-3.0,-0.10693293201412744,NI2610,-3.0,False,0.0,123550.0,1.0,0.12,44478.0,-0.3687605469008293,-0.10557687009244297,-0.3979053143812901,True
RU,RU2701,0.0,0.0038016036447083047,,0.0,False,0.0,18820.0,10.0,0.09,0.0,0.24884428402973194,-0.031715799214044375,-0.18431517505478237,True
SA,SA2701,-9.0,-0.06326229775861471,SA2701,-9.0,False,0.0,1006.0,20.0,0.08,14486.4,-0.5561836629385143,-0.7561030700306414,0.5632503125879945,True
SC,SC2611,0.0,0.05958830676586751,,0.0,False,0.0,785.2,1000.0,0.16,0.0,0.5679676407021819,0.9993888778770831,0.3918161218127712,True
SN,SN2610,0.0,0.03698715213402741,,0.0,False,0.0,401680.0,1.0,0.14,0.0,0.1083722450684092,-0.0269572553038725,0.44521365664439805,True
TA,TA2701,10.0,0.10761278954615076,TA2701,10.0,False,0.0,6388.0,5.0,0.07,22358.000000000004,0.3952320448326402,0.8599666867992147,0.5801126920085082,True
V,V2701,-12.0,-0.09790494692138899,V2701,-12.0,False,0.0,4786.0,5.0,0.07,20101.2,-0.19537492988205296,-0.646582024045201,-0.6452202125488252,True
