symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AG,AG2612,-0.0,-0.02072574505467993,,0.0,False,-0.0,15949.0,15.0,0.22,0.0,0.19184843583930383,-0.07167970127491292,-0.6812688704326038,True
AL,AL2611,4.0,0.15310865600475293,AL2611,4.0,False,0.0,24240.0,5.0,0.11,53328.0,0.4779564931871583,0.05191944470920074,0.12288741923490443,True
AU,AU2612,-0.0,-0.04555553415004601,,0.0,False,-0.0,935.78,1000.0,0.16,0.0,-0.027345535437403506,-0.07453581896054988,-0.6046825571309363,True
C,C2611,-27.0,-0.19723344254890834,C2611,-27.0,False,0.0,2180.0,10.0,0.07,41202.00000000001,-0.45704792619395657,-0.4176649958656104,-0.374923617225934,True
CF,CF2701,1.0,0.028905837330444387,CF2701,1.0,False,0.0,15790.0,5.0,0.07,5526.500000000001,-0.24117009781592197,0.154437804676293,0.24870779108764382,True
CU,CU2610,1.0,0.2034784449302498,CU2610,1.0,False,0.0,111320.0,5.0,0.11,61226.0,0.7791703209393515,0.28537531174406505,0.6754029651969339,True
I,I2701,-2.0,-0.036594998765595035,I2701,-2.0,False,0.0,708.0,100.0,0.08,11328.0,-0.17297338485614705,0.18726264941202284,-0.5363019202544476,True
J,J2701,1.0,0.03869721266477579,J2701,1.0,False,0.0,1984.0,100.0,0.12,23808.0,-0.08368311651243467,0.3184544549300062,0.4401735743418125,True
JD,JD2611,5.0,0.0693999643932405,JD2611,7.0,False,-2.0,3885.0,10.0,0.07,13597.500000000002,0.20270429095230313,0.7218937683216041,,True
M,M2701,8.0,0.08929965226021205,M2701,8.0,False,0.0,3416.0,10.0,0.07,19129.600000000002,0.5704249379245646,0.9573663071437121,-0.6757984194824846,True
MA,MA2701,9.0,0.08924108517793547,MA2701,9.0,False,0.0,2944.0,10.0,0.07,18547.2,0.6456219095575843,0.9563234700982366,0.363587261040145,True
NI,NI2611,-1.0,-0.055493390972496906,NI2611,-1.0,False,0.0,124930.0,1.0,0.12,14991.599999999999,-0.2659137901415747,-0.1348867806943227,-0.29286685297414744,True
P,P2701,-0.0,-0.008208770584820325,P2701,-4.0,False,4.0,9828.0,10.0,0.08,0.0,-0.1013566355915911,-0.546109581713032,0.5865575690431923,True
RB,RB2701,-5.0,-0.051901867653429155,RB2701,-5.0,False,0.0,3114.0,10.0,0.07,10899.000000000002,-0.1501400340608542,-0.04954612986973746,-0.20260441229718223,True
RU,RU2701,0.0,0.016500883288423886,,0.0,False,0.0,18965.0,10.0,0.09,0.0,0.3431554489083503,-0.043229922341898,-0.10687152067009795,True
SA,SA2701,-6.0,-0.04405913359912986,SA2701,-5.0,False,-1.0,1017.0,20.0,0.08,9763.2,-0.6094279663645796,-0.6753651127557563,0.5167598876434799,True
SC,SC2611,0.0,0.06420344116014023,,0.0,False,0.0,724.0,1000.0,0.16,0.0,0.4476602104022647,0.9996398923774019,0.4292326724415743,True
SN,SN2610,1.0,0.07881441586157306,,0.0,False,1.0,410400.0,1.0,0.14,57456.00000000001,0.39022369914729427,-0.033319776879143226,0.626168906645862,True
SR,SR2701,-11.0,-0.2014564418913183,SR2701,-11.0,False,0.0,5350.0,10.0,0.06,35310.0,-0.1845380838394093,-0.21512868182604988,-0.6484461647318891,True
TA,TA2701,11.0,0.11551437023466249,TA2701,11.0,False,0.0,6274.0,5.0,0.07,24154.9,0.4077758843678847,0.8185960842969622,0.6781381906719934,True
V,V2701,-12.0,-0.09620810999204586,V2701,-12.0,False,0.0,4757.0,5.0,0.07,19979.4,-0.23197575861417252,-0.6443111775139189,-0.4569803814777206,True
Y,Y2701,2.0,0.07403808539101817,Y2701,2.0,False,0.0,8945.0,10.0,0.07,12523.000000000002,0.3939086163378578,0.2760678749782611,-0.10687152067009795,True
