symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AG,AG2612,-0.0,-0.029544801381035525,,0.0,False,-0.0,15593.0,15.0,0.22,0.0,0.018862223404897974,-0.06208381319653706,-0.4983862149230057,True
AL,AL2611,2.0,0.0758762594899793,AL2610,2.0,True,2.0,24225.0,5.0,0.11,26647.5,0.2395735856572937,0.07787182033652948,0.22826111912010963,True
AU,AU2612,-0.0,-0.04396840543882707,,0.0,False,-0.0,935.0,1000.0,0.16,0.0,-0.09489342906594088,-0.0689876223062462,-0.5321837653436158,True
C,C2611,-27.0,-0.19739016677185448,C2611,-16.0,False,-11.0,2192.0,10.0,0.07,41428.8,-0.3656129627379474,-0.4156831922984074,-0.374461863380769,True
CF,CF2701,2.0,0.04004703647188463,CF2701,2.0,False,0.0,15830.0,5.0,0.07,11081.000000000002,-0.2848983722755409,0.18105538791975226,0.3521854706623463,True
CU,CU2610,1.0,0.13305841084638287,CU2610,1.0,False,0.0,108500.0,5.0,0.11,59675.0,0.49753393380279676,0.21301472052980788,0.5493378481159048,True
I,I2701,-2.0,-0.03674336655210532,I2701,-2.0,False,0.0,710.5,100.0,0.08,11368.0,-0.1253812670583173,0.18661091487592107,-0.4420569642219891,True
J,J2701,1.0,0.052515940713464555,J2701,1.0,False,0.0,2043.5,100.0,0.12,24522.0,0.13839771689846736,0.2544817695345379,0.5183567602303455,True
JD,JD2611,5.0,0.05810276417088235,JD2611,5.0,False,0.0,3789.0,10.0,0.07,13261.500000000002,0.0846551779725015,0.3645382157324789,,True
M,M2701,11.0,0.12591827026486332,M2701,11.0,False,0.0,3477.0,10.0,0.07,26772.9,0.6425076107430965,0.9564472027376872,-0.5687977782992767,True
MA,MA2701,9.0,0.08972824791761093,MA2701,9.0,False,0.0,2995.0,10.0,0.07,18868.5,0.7156250131110893,0.9782110706907887,0.3803500960128547,True
NI,NI2610,-1.0,-0.05498484385299186,NI2610,-1.0,False,0.0,123550.0,1.0,0.12,14826.0,-0.3687605469008293,-0.10557687009244297,-0.22237288648802395,True
P,P2701,-4.0,-0.13588800145915675,P2701,-2.0,False,-2.0,9959.0,10.0,0.08,31868.8,0.04971303329278151,-0.569707019052155,-0.5714785077001081,True
RB,RB2701,-8.0,-0.08667582848313575,RB2701,-8.0,False,0.0,3122.0,10.0,0.07,17483.2,-0.05954944864388333,-0.09844196798941902,-0.4026264887312774,True
RU,RU2701,0.0,0.024735795642254185,,0.0,False,0.0,18820.0,10.0,0.09,0.0,0.24884428402973194,-0.031715799214044375,-0.008321733824160496,True
SA,SA2701,-4.0,-0.029810846057613825,SA2701,-4.0,False,0.0,1006.0,20.0,0.08,6438.400000000001,-0.5561836629385143,-0.7561030700306414,0.7408573004993615,True
SC,SC2611,0.0,0.06441147921159829,,0.0,False,0.0,785.2,1000.0,0.16,0.0,0.5679676407021819,0.9993888778770831,0.5690530858612606,True
SN,SN2610,0.0,0.053196968286977724,,0.0,False,0.0,401680.0,1.0,0.14,0.0,0.1083722450684092,-0.0269572553038725,0.6225658740272264,True
SR,SR2701,-11.0,-0.20161652176370143,SR2701,-8.0,False,-3.0,5335.0,10.0,0.06,35211.0,-0.2567038227587521,-0.2157061841266174,-0.5659813157642258,True
TA,TA2701,8.0,0.08332295476654204,TA2701,8.0,False,0.0,6388.0,5.0,0.07,17886.4,0.3952320448326402,0.8599666867992147,0.7577560757096664,True
V,V2701,-8.0,-0.06572262692751464,V2701,-8.0,False,0.0,4786.0,5.0,0.07,13400.800000000001,-0.19537492988205296,-0.646582024045201,-0.4702215895724973,True
Y,Y2701,4.0,0.12135753596407434,Y2701,4.0,False,0.0,8969.0,10.0,0.07,25113.2,0.4520282606199415,0.25001012005640105,-0.06183452199012632,True
